"PT";"AFD";"BLOK";"IFTYPE";"IFSUBTYPE";"IFCODE";"IFDESC";"DIMENSI";"NILAI";"SATUAN";"BAIK";"SIAGA";"RUSAK";"WO_NO";"CREATED_DATE";"CREATED_BY";"MODIFIED_DATE";"MODIFIED_BY";"LAT";"LON";"TOPOGRAFI";"JENIS_TANAH";"ACTIVE"
"SA1";"OE";"023";"JL";"JLB";"JLBOE023";"Jalan Koleksi Utara OE023";"PJG";"1165";"MTR";"1085";"80";"0";"";"19-JUN-26 09.06.35.000000 AM";"0107042";"19-JUN-26 09.06.35.000000 AM";"0107042";"0";"0";"";"";"Y"
"SA1";"OE";"OE004";"JL";"JLF";"JLFOE004";"Jalan Koleksi Dalam OE004";"";"";"";"";"";"";"";"";"";"";"";"";"";"DATAR";"";"Y"
"SA1";"OE";"OE005";"JL";"JLF";"JLFOE005";"Jalan Koleksi Dalam OE005";"";"";"";"";"";"";"";"";"";"";"";"";"";"DATAR";"";"Y"
"SA1";"OF";"001";"JL";"JLB";"JLBOF001";"Jalan Koleksi Utara OF001";"PJG";"1122";"MTR";"1122";"0";"0";"WOWIF/SA1/202608/020009";"05-AUG-26 06.25.40.000000 AM";"0107042";"05-AUG-26 06.25.40.000000 AM";"0107042";"0";"0";"";"";"Y"
"SA1";"OF";"001";"JL";"JLE";"JLEOF001";"Jalan Utama OF001";"PJG";"264";"MTR";"264";"0";"0";"WOWIF/SA1/202606/020084";"30-JUN-26 08.19.55.000000 AM";"0107042";"30-JUN-26 08.19.55.000000 AM";"0107042";"0";"0";"";"";"Y"
"SA1";"OF";"002";"JL";"JLA";"JLAOF002";"Jalan Transport Timur OF002";"PJG";"249";"MTR";"249";"0";"0";"";"24-SEP-24 08.42.39.000000 AM";"0107042";"24-SEP-24 08.42.39.000000 AM";"0107042";"0";"0";"";"";"Y"
"SA1";"OF";"002";"JL";"JLB";"JLBOF002";"Jalan Koleksi Utara OF002";"PJG";"1004";"MTR";"1004";"0";"0";"WOWIF/SA1/202608/020010";"05-AUG-26 06.26.41.000000 AM";"0107042";"05-AUG-26 06.26.41.000000 AM";"0107042";"0";"0";"";"";"Y"
"SA1";"OF";"003";"JL";"JLA";"JLAOF003";"Jalan Transport Timur OF003";"PJG";"243";"MTR";"243";"0";"0";"";"05-APR-23 10.00.00.000000 AM";"SYSTEM";"05-APR-23 10.00.00.000000 AM";"";"";"";"";"";"N"
"SA1";"OF";"003";"JL";"JLB";"JLBOF003";"Jalan Koleksi Utara OF003";"PJG";"1164";"MTR";"1164";"0";"0";"WOWIF/SA1/202607/020099";"25-JUL-26 05.20.30.000000 AM";"0107042";"25-JUL-26 05.20.30.000000 AM";"0107042";"0";"0";"";"";"Y"
"SA1";"OF";"004";"JL";"JLA";"JLAOF004";"Jalan Transport Timur OF004";"PJG";"260";"MTR";"260";"0";"0";"";"05-APR-23 10.00.00.000000 AM";"SYSTEM";"05-APR-23 10.00.00.000000 AM";"";"";"";"";"";"N"
"SA1";"OF";"004";"JL";"JLB";"JLBOF004";"Jalan Koleksi Utara OF004";"PJG";"1164";"MTR";"1164";"0";"0";"WOWIF/SA1/202608/020011";"05-AUG-26 06.27.49.000000 AM";"0107042";"05-AUG-26 06.27.49.000000 AM";"0107042";"0";"0";"";"";"Y"
"SA1";"OF";"005";"JL";"JLA";"JLAOF005";"Jalan Transport Timur OF005";"PJG";"258";"MTR";"258";"0";"0";"";"05-APR-23 10.00.00.000000 AM";"SYSTEM";"05-APR-23 10.00.00.000000 AM";"";"";"";"";"";"Y"
"SA1";"OF";"005";"JL";"JLB";"JLBOF005";"Jalan Koleksi Utara OF005";"PJG";"1005";"MTR";"935";"70";"0";"";"05-JAN-26 12.02.56.000000 PM";"0107042";"05-JAN-26 12.24.20.000000 PM";"0107042";"0";"0";"";"";"Y"
"SA1";"OF";"006";"JL";"JLB";"JLBOF006";"Jalan Koleksi Utara OF006";"PJG";"1137";"MTR";"1117";"20";"0";"WOWIF/SA1/202607/020059";"15-JUL-26 10.12.30.000000 AM";"0107042";"15-JUL-26 10.12.30.000000 AM";"0107042";"0";"0";"";"";"Y"
"SA1";"OF";"006";"JL";"JLE";"JLEOF006";"Jalan Utama OF006";"PJG";"226";"MTR";"226";"0";"0";"WOWIF/SA1/202606/020083";"30-JUN-26 08.18.31.000000 AM";"0107042";"30-JUN-26 08.18.31.000000 AM";"0107042";"0";"0";"";"";"Y"
"SA1";"OF";"007";"JL";"JLB";"JLBOF007";"Jalan Koleksi Utara OF007";"PJG";"1143";"MTR";"1143";"0";"0";"";"12-JUN-26 08.42.55.000000 PM";"0107042";"12-JUN-26 08.42.55.000000 PM";"0107042";"0";"0";"";"";"Y"
