"PT";"AFD";"BLOK";"IFTYPE";"IFSUBTYPE";"IFCODE";"IFDESC";"DIMENSI";"NILAI";"SATUAN";"BAIK";"SIAGA";"RUSAK";"WO_NO";"CREATED_DATE";"CREATED_BY";"MODIFIED_DATE";"MODIFIED_BY";"LAT";"LON";"TOPOGRAFI";"JENIS_TANAH";"ACTIVE"
"SA1";"OG";"010";"JL";"JLB";"JLBOG010";"Jalan Koleksi Utara OG010";"PJG";"918";"MTR";"918";"0";"0";"WOWIF/SA1/202607/020110";"30-JUL-26 07.51.58.000000 AM";"0107042";"30-JUL-26 07.51.58.000000 AM";"0107042";"0";"0";"";"";"Y"
"SA1";"OG";"011";"JL";"JLA";"JLAOG011";"Jalan Transport Timur OG011";"PJG";"242";"MTR";"222";"20";"0";"";"07-MAY-25 08.59.37.000000 AM";"0107042";"07-MAY-25 08.59.37.000000 AM";"0107042";"0";"0";"";"";"Y"
"SA1";"OG";"011";"JL";"JLB";"JLBOG011";"Jalan Koleksi Utara OG011";"PJG";"1003";"MTR";"1003";"0";"0";"WOWIF/SA1/202606/020018";"08-JUN-26 08.21.40.000000 AM";"0107042";"08-JUN-26 08.21.40.000000 AM";"0107042";"0";"0";"";"";"Y"
"SA1";"OG";"012";"JL";"JLA";"JLAOG012";"Jalan Transport Timur OG012";"PJG";"251";"MTR";"231";"20";"0";"";"20-JUN-26 12.58.03.000000 PM";"0107042";"20-JUN-26 12.58.03.000000 PM";"0107042";"0";"0";"";"";"Y"
"SA1";"OG";"012";"JL";"JLE";"JLEOG012";"Jalan Utama OG012";"PJG";"1031";"MTR";"971";"60";"0";"";"29-JUL-26 06.56.45.000000 AM";"0107042";"29-JUL-26 06.56.45.000000 AM";"0107042";"0";"0";"";"";"Y"
"SA1";"OG";"013";"JL";"JLA";"JLAOG013";"Jalan Transport Timur OG013";"PJG";"267";"MTR";"267";"0";"0";"";"20-JUN-26 12.58.52.000000 PM";"0107042";"20-JUN-26 12.58.52.000000 PM";"0107042";"0";"0";"";"";"Y"
"SA1";"OG";"013";"JL";"JLB";"JLBOG013";"Jalan Koleksi Utara OG013";"PJG";"775";"MTR";"775";"0";"0";"WOWIF/SA1/202606/020077";"29-JUN-26 08.18.52.000000 AM";"0107042";"29-JUN-26 08.18.52.000000 AM";"0107042";"0";"0";"";"";"Y"
"SA1";"OG";"013";"JL";"JLC";"JLCOG013";"Jalan Transport Barat OG013";"PJG";"266";"MTR";"266";"0";"0";"";"20-JUN-26 12.59.51.000000 PM";"0107042";"20-JUN-26 12.59.51.000000 PM";"0107042";"0";"0";"";"";"Y"
"SA1";"OG";"014";"JL";"JLA";"JLAOG014";"Jalan Transport Timur OG014";"PJG";"250";"MTR";"250";"0";"0";"";"20-JUN-26 01.00.42.000000 PM";"0107042";"20-JUN-26 01.00.42.000000 PM";"0107042";"0";"0";"";"";"Y"
"SA1";"OG";"014";"JL";"JLB";"JLBOG014";"Jalan Koleksi Utara OG014";"PJG";"762";"MTR";"762";"0";"0";"WOWIF/SA1/202607/020106";"29-JUL-26 06.49.05.000000 AM";"0107042";"29-JUL-26 06.49.05.000000 AM";"0107042";"0";"0";"";"";"Y"
"SA1";"OG";"014";"JL";"JLC";"JLCOG014";"Jalan Transport Barat OG014";"PJG";"194";"MTR";"194";"0";"0";"";"20-JUN-26 01.01.24.000000 PM";"0107042";"20-JUN-26 01.01.24.000000 PM";"0107042";"0";"0";"";"";"Y"
"SA1";"OG";"015";"JL";"JLA";"JLAOG015";"Jalan Transport Timur OG015";"PJG";"319";"MTR";"319";"0";"0";"";"20-JUN-26 01.02.29.000000 PM";"0107042";"20-JUN-26 01.02.29.000000 PM";"0107042";"0";"0";"";"";"Y"
"SA1";"OG";"015";"JL";"JLB";"JLBOG015";"Jalan Koleksi Utara OG015";"PJG";"1043";"MTR";"1043";"0";"0";"WOWIF/SA1/202607/020107";"29-JUL-26 06.49.51.000000 AM";"0107042";"29-JUL-26 06.49.51.000000 AM";"0107042";"0";"0";"";"";"Y"
"SA1";"OG";"016";"JL";"JLE";"JLEOG016a";"Jalan Utama OG016";"PJG";"251";"MTR";"251";"0";"0";"";"05-APR-23 10.00.00.000000 AM";"SYSTEM";"05-APR-23 10.00.00.000000 AM";"";"";"";"";"";"N"
"SA1";"OG";"016";"JL";"JLE";"JLEOG016b";"Jalan Utama OG016";"PJG";"1012";"MTR";"972";"40";"0";"";"20-JUN-26 01.04.14.000000 PM";"0107042";"20-JUN-26 01.04.14.000000 PM";"0107042";"0";"0";"";"";"N"
"SA1";"OG";"017";"JL";"JLA";"JLAOG017";"Jalan Transport Timur OG017";"PJG";"240";"MTR";"240";"0";"0";"";"20-JUN-26 01.04.55.000000 PM";"0107042";"20-JUN-26 01.04.55.000000 PM";"0107042";"0";"0";"";"";"Y"
"SA1";"OG";"017";"JL";"JLB";"JLBOG017";"Jalan Koleksi Utara OG017";"PJG";"1012";"MTR";"1012";"0";"0";"";"10-JUN-25 11.48.06.000000 AM";"0107042";"10-JUN-25 11.48.06.000000 AM";"0107042";"0";"0";"";"";"Y"
"SA1";"OG";"017";"JL";"JLE";"JLEOG017";"Jalan Utama OG017";"PJG";"242";"MTR";"242";"0";"0";"";"01-FEB-24 10.22.05.000000 AM";"0107042";"01-FEB-24 10.22.05.000000 AM";"0107042";"0";"0";"";"";"Y"
"SA1";"OG";"018";"JL";"JLA";"JLAOG018";"Jalan Transport Timur OG018";"PJG";"277";"MTR";"277";"0";"0";"WOWIF/SA1/202608/020012";"05-AUG-26 06.43.23.000000 AM";"0107042";"05-AUG-26 06.43.23.000000 AM";"0107042";"0";"0";"";"";"Y"
"SA1";"OG";"018";"JL";"JLB";"JLBOG018";"Jalan Koleksi Utara OG018";"PJG";"1007";"MTR";"947";"60";"0";"";"18-AUG-26 08.23.22.000000 AM";"0107042";"18-AUG-26 08.23.22.000000 AM";"0107042";"0";"0";"";"";"Y"
"SA1";"OG";"018";"JL";"JLD";"JLDOG018";"Jalan Koleksi Selatan OG018";"PJG";"600";"MTR";"560";"40";"0";"";"16-MAR-26 08.43.53.000000 AM";"0107042";"16-MAR-26 08.43.53.000000 AM";"0107042";"0";"0";"";"";"Y"
"SA1";"OG";"019";"JL";"JLA";"JLAOG019";"Jalan Transport Timur OG019";"PJG";"250";"MTR";"250";"0";"0";"";"19-JUN-25 09.16.50.000000 AM";"0107042";"19-JUN-25 09.16.50.000000 AM";"0107042";"0";"0";"";"";"Y"
"SA1";"OG";"019";"JL";"JLB";"JLBOG019";"Jalan Koleksi Utara OG019";"PJG";"745";"MTR";"745";"0";"0";"WOWIF/SA1/202606/020076";"29-JUN-26 08.17.59.000000 AM";"0107042";"29-JUN-26 08.17.59.000000 AM";"0107042";"0";"0";"";"";"Y"
"SA1";"OG";"019";"JL";"JLC";"JLCOG019";"Jalan Transport Barat OG019";"PJG";"267";"MTR";"267";"0";"0";"";"24-MAR-24 10.36.39.000000 AM";"0107042";"24-MAR-24 10.36.39.000000 AM";"0107042";"0";"0";"";"";"Y"
"SA1";"OG";"019";"JL";"JLD";"JLDOG019";"Jalan Koleksi Selatan OG019";"PJG";"770";"MTR";"770";"0";"0";"";"02-AUG-24 10.10.47.000000 AM";"0107042";"02-AUG-24 10.10.47.000000 AM";"0107042";"0";"0";"";"";"Y"
"SA1";"OG";"01A";"JL";"JLE";"JLEOG01Aa";"Jalan Utama OG01A";"PJG";"207";"MTR";"177";"30";"0";"";"28-JUL-26 01.01.29.000000 PM";"0107042";"28-JUL-26 01.01.29.000000 PM";"0107042";"0";"0";"";"";"N"
"SA1";"OG";"01A";"JL";"JLE";"JLEOG01Ab";"Jalan Utama OG01A";"PJG";"940";"MTR";"940";"0";"0";"";"24-JUN-26 09.54.54.000000 PM";"0107042";"24-JUN-26 09.54.54.000000 PM";"0107042";"0";"0";"";"";"N"
"SA1";"OG";"02A";"JL";"JLA";"JLAOG02A";"Jalan Transport Timur OG02A";"PJG";"237";"MTR";"237";"0";"0";"";"24-JUN-26 09.56.23.000000 PM";"0107042";"24-JUN-26 09.56.23.000000 PM";"0107042";"0";"0";"";"";"Y"
"SA1";"OG";"02A";"JL";"JLB";"JLBOG02A";"Jalan Koleksi Utara OG02A";"PJG";"920";"MTR";"900";"20";"0";"WOWIF/SA1/202608/020008";"04-AUG-26 07.48.39.000000 AM";"0107042";"04-AUG-26 07.49.14.000000 AM";"0107042";"-1.96477";"102.496";"";"";"Y"
"SA1";"OG";"03A";"JL";"JLA";"JLAOG03A";"Jalan Transport Timur OG03A";"PJG";"270";"MTR";"270";"0";"0";"";"05-APR-23 10.00.00.000000 AM";"SYSTEM";"05-APR-23 10.00.00.000000 AM";"";"";"";"";"";"N"
"SA1";"OG";"06A";"JL";"JLB";"JLBOG06A";"Jalan Koleksi Utara OG06A";"PJG";"967";"MTR";"967";"0";"0";"WOWIF/SA1/202607/020105";"29-JUL-26 06.48.25.000000 AM";"0107042";"29-JUL-26 06.48.25.000000 AM";"0107042";"0";"0";"";"";"Y"
"SA1";"OG";"06A";"JL";"JLC";"JLCOG06A";"Jalan Transport Barat OG06A";"PJG";"250";"MTR";"250";"0";"0";"WOWIF/SA1/202608/020016";"06-AUG-26 06.56.40.000000 AM";"0107042";"06-AUG-26 06.56.40.000000 AM";"0107042";"0";"0";"";"";"Y"
"SA1";"OG";"06A";"JL";"JLE";"JLEOG06A";"Jalan Utama OG06A";"PJG";"299";"MTR";"264";"35";"0";"";"28-JUL-26 01.02.04.000000 PM";"0107042";"28-JUL-26 01.02.04.000000 PM";"0107042";"0";"0";"";"";"Y"
"SA1";"OG";"11A";"JL";"JLE";"JLEOG11Aa";"Jalan Utama OG11A";"PJG";"250";"MTR";"250";"0";"0";"";"24-JUN-26 10.01.34.000000 PM";"0107042";"24-JUN-26 10.01.34.000000 PM";"0107042";"0";"0";"";"";"N"
"SA1";"OG";"11A";"JL";"JLE";"JLEOG11Ab";"Jalan Utama OG11A";"PJG";"1005";"MTR";"1005";"0";"0";"";"24-JUN-26 10.00.35.000000 PM";"0107042";"24-JUN-26 10.00.35.000000 PM";"0107042";"0";"0";"";"";"N"
"SA1";"OG";"16A";"JL";"JLA";"JLAOG16A";"Jalan Transport Timur OG16A";"PJG";"247";"MTR";"247";"0";"0";"";"24-JUN-26 10.02.35.000000 PM";"0107042";"24-JUN-26 10.02.35.000000 PM";"0107042";"0";"0";"";"";"Y"
"SA1";"OG";"16A";"JL";"JLB";"JLBOG16A";"Jalan Koleksi Utara OG16A";"PJG";"997";"MTR";"997";"0";"0";"WOWIF/SA1/202607/020109";"30-JUL-26 07.51.06.000000 AM";"0107042";"30-JUL-26 07.51.06.000000 AM";"0107042";"0";"0";"";"";"Y"
"SA1";"OG";"17A";"JL";"JLB";"JLBOG17A";"Jalan Koleksi Utara OG17A";"PJG";"210";"MTR";"180";"30";"0";"";"29-JUL-26 02.48.23.000000 PM";"0107042";"29-JUL-26 02.48.23.000000 PM";"0107042";"0";"0";"";"";"Y"
"SA1";"OG";"17A";"JL";"JLF";"JLFOG17Aa";"Jalan Koleksi Dalam OG17A";"PJG";"132";"MTR";"132";"0";"0";"";"05-APR-23 10.00.00.000000 AM";"SYSTEM";"05-APR-23 10.00.00.000000 AM";"";"";"";"";"";"N"
"SA1";"OG";"OG001";"JL";"JLA";"JLAOG0011";"JLAOG01A";"";"";"";"";"";"";"";"";"";"";"";"";"";"ROLLING - 2";"";"N"
"SA1";"OG";"OG001";"JL";"JLB";"JLBOG0011";"JLBOG01A";"";"";"";"";"";"";"";"";"";"";"";"";"";"ROLLING - 2";"";"N"
"SA1";"OG";"OG011";"JL";"JLA";"JLAOG0111";"Jalan Transport Timur OG011A";"";"";"";"";"";"";"";"";"";"";"";"";"";"DATAR";"";"N"
"SA1";"OG";"OG011";"JL";"JLB";"JLBOG0111";"JLBOG11A";"";"";"";"";"";"";"";"";"";"";"";"";"";"DATAR";"";"N"
"SA1";"OG";"OG016";"JL";"JLA";"JLAOG016";"Jalan Transport Timur OG016";"";"";"";"";"";"";"";"";"";"";"";"";"";"DATAR";"";"Y"
"SA1";"OG";"OG016";"JL";"JLB";"JLBOG016";"Jalan Koleksi Utara OG016";"PJG";"1012";"MTR";"1012";"0";"0";"WOWIF/SA1/202608/020001";"03-AUG-26 07.28.59.000000 AM";"0107042";"03-AUG-26 07.28.59.000000 AM";"0107042";"0";"0";"DATAR";"";"Y"
"SA1";"OG";"OG017";"JL";"JLF";"JLFOG0171";"JLFOG17A";"";"";"";"";"";"";"";"";"";"";"";"";"";"DATAR";"";"N"
"SA1";"OG";"OG01A";"JL";"JLA";"JLAOG01A";"Jalan Utama OG01A";"";"";"";"";"";"";"";"";"";"";"";"";"";"ROLLING - 2";"";"Y"
"SA1";"OG";"OG01A";"JL";"JLB";"JLBOG01A";"Jalan Utama OG01A";"";"";"";"";"";"";"";"";"";"";"";"";"";"ROLLING - 2";"";"Y"
"SA1";"OG";"OG11A";"JL";"JLA";"JLAOG11A";"Jalan Utama OG11A";"";"";"";"";"";"";"";"";"";"";"";"";"";"DATAR";"";"Y"
"SA1";"OG";"OG11A";"JL";"JLB";"JLBOG11A";"Jalan Utama OG11A";"";"";"";"";"";"";"";"";"";"";"";"";"";"DATAR";"";"Y"
"SA1";"OG";"OG17A";"JL";"JLF";"JLFOG17A";"Jalan Koleksi Dalam OG17A";"";"132";"MTR";"112";"20";"0";"";"24-JUN-26 10.04.38.000000 PM";"0107042";"24-JUN-26 10.04.38.000000 PM";"0107042";"0";"0";"DATAR";"";"Y"
"SA1";"OH";"001";"JL";"JLB";"JLBOH001";"Jalan Koleksi Utara OH001";"PJG";"1021";"MTR";"1021";"0";"0";"WOWIF/SA1/202607/020111";"30-JUL-26 07.53.17.000000 AM";"0107042";"30-JUL-26 07.53.17.000000 AM";"0107042";"0";"0";"";"";"Y"
"SA1";"OH";"001";"JL";"JLE";"JLEOH001";"Jalan Utama OH001";"PJG";"255";"MTR";"255";"0";"0";"";"24-JUL-25 09.09.00.000000 AM";"0107042";"24-JUL-25 09.09.00.000000 AM";"0107042";"0";"0";"";"";"Y"
"SA1";"OH";"002";"JL";"JLB";"JLBOH002";"Jalan Koleksi Utara OH002";"PJG";"1104";"MTR";"1104";"0";"0";"";"18-JUN-24 09.18.56.000000 AM";"0107042";"18-JUN-24 09.18.56.000000 AM";"0107042";"0";"0";"";"";"Y"
"SA1";"OH";"002";"JL";"JLE";"JLEOH002";"Jalan Utama OH002";"PJG";"266";"MTR";"266";"0";"0";"";"24-JUN-26 10.14.31.000000 PM";"0107042";"24-JUN-26 10.14.31.000000 PM";"0107042";"0";"0";"";"";"Y"
"SA1";"OH";"003";"JL";"JLA";"JLAOH003";"Jalan Transport Timur OH003";"PJG";"258";"MTR";"258";"0";"0";"WOWIF/SA1/202607/020101";"25-JUL-26 05.21.44.000000 AM";"0107042";"25-JUL-26 05.21.44.000000 AM";"0107042";"0";"0";"";"";"Y"
"SA1";"OH";"003";"JL";"JLB";"JLBOH003";"Jalan Koleksi Utara OH003";"PJG";"1007";"MTR";"1007";"0";"0";"";"15-JUN-24 10.32.49.000000 AM";"0107042";"15-JUN-24 10.32.49.000000 AM";"0107042";"0";"0";"";"";"Y"
"SA1";"OH";"004";"JL";"JLA";"JLAOH004";"Jalan Transport Timur OH004";"PJG";"229";"MTR";"229";"0";"0";"";"06-JUL-26 11.18.32.000000 AM";"0107042";"06-JUL-26 11.18.32.000000 AM";"0107042";"0";"0";"";"";"Y"
"SA1";"OH";"004";"JL";"JLB";"JLBOH004";"Jalan Koleksi Utara OH004";"PJG";"983";"MTR";"923";"60";"0";"";"05-DEC-25 08.59.14.000000 AM";"0107042";"05-DEC-25 08.59.14.000000 AM";"0107042";"0";"0";"";"";"Y"
"SA1";"OH";"004";"JL";"JLC";"JLCOH004";"Jalan Transport Barat OH004";"PJG";"232";"MTR";"232";"0";"0";"";"05-APR-23 10.00.00.000000 AM";"SYSTEM";"05-APR-23 10.00.00.000000 AM";"";"";"";"";"";"Y"
"SA1";"OH";"005";"JL";"JLB";"JLBOH005";"Jalan Koleksi Utara OH005";"PJG";"1048";"MTR";"1008";"40";"0";"";"06-MAY-25 03.47.06.000000 PM";"0107042";"06-MAY-25 03.47.06.000000 PM";"0107042";"0";"0";"";"";"Y"
"SA1";"OH";"005";"JL";"JLE";"JLEOH005";"Jalan Utama OH005";"PJG";"250";"MTR";"250";"0";"0";"";"24-JUN-26 10.16.55.000000 PM";"0107042";"24-JUN-26 10.16.55.000000 PM";"0107042";"0";"0";"";"";"Y"
"SA1";"OH";"006";"JL";"JLB";"JLBOH006";"Jalan Koleksi Utara OH006";"PJG";"1059";"MTR";"999";"60";"0";"";"30-DEC-25 11.32.13.000000 AM";"0107042";"30-DEC-25 11.32.13.000000 AM";"0107042";"0";"0";"";"";"Y"
"SA1";"OH";"006";"JL";"JLE";"JLEOH006";"Jalan Utama OH006";"PJG";"249";"MTR";"249";"0";"0";"";"24-JUN-26 10.17.46.000000 PM";"0107042";"24-JUN-26 10.17.46.000000 PM";"0107042";"0";"0";"";"";"Y"
"SA1";"OH";"007";"JL";"JLA";"JLAOH007";"Jalan Transport Timur OH007";"PJG";"238";"MTR";"218";"20";"0";"";"24-JUN-26 10.18.57.000000 PM";"0107042";"24-JUN-26 10.18.57.000000 PM";"0107042";"0";"0";"";"";"Y"
"SA1";"OH";"007";"JL";"JLB";"JLBOH007";"Jalan Koleksi Utara OH007";"PJG";"1008";"MTR";"948";"60";"0";"";"09-JAN-26 08.20.31.000000 AM";"0107042";"09-JAN-26 08.26.36.000000 AM";"0107042";"0";"0";"";"";"Y"
"SA1";"OH";"008";"JL";"JLA";"JLAOH008";"Jalan Transport Timur OH008";"PJG";"228";"MTR";"228";"0";"0";"";"24-JUN-26 10.20.28.000000 PM";"0107042";"24-JUN-26 10.20.28.000000 PM";"0107042";"0";"0";"";"";"Y"
"SA1";"OH";"008";"JL";"JLB";"JLBOH008";"Jalan Koleksi Utara OH008";"PJG";"357";"MTR";"357";"0";"0";"";"21-MAY-25 10.31.04.000000 AM";"0107042";"21-MAY-25 10.31.04.000000 AM";"0107042";"0";"0";"";"";"Y"
"SA1";"OH";"009";"JL";"JLA";"JLAOH009";"Jalan Transport Timur OH009";"PJG";"249";"MTR";"249";"0";"0";"";"24-JUN-26 10.21.07.000000 PM";"0107042";"24-JUN-26 10.21.07.000000 PM";"0107042";"0";"0";"";"";"Y"
"SA1";"OH";"009";"JL";"JLB";"JLBOH009";"Jalan Koleksi Utara OH009";"PJG";"610";"MTR";"580";"30";"0";"";"24-JUN-26 10.22.10.000000 PM";"0107042";"24-JUN-26 10.22.10.000000 PM";"0107042";"0";"0";"";"";"Y"
"SA1";"OH";"010";"JL";"JLA";"JLAOH010";"Jalan Transport Timur OH010";"PJG";"237";"MTR";"237";"0";"0";"";"25-JUN-26 11.30.09.000000 AM";"0107042";"25-JUN-26 11.30.09.000000 AM";"0107042";"0";"0";"";"";"Y"
"SA1";"OH";"010";"JL";"JLB";"JLBOH010";"Jalan Koleksi Utara OH010";"PJG";"908";"MTR";"858";"50";"0";"";"11-MAR-26 09.26.11.000000 AM";"0107042";"11-MAR-26 09.26.11.000000 AM";"0107042";"0";"0";"";"";"Y"
"SA1";"OH";"010";"JL";"JLD";"JLDOH010";"Jalan Koleksi Selatan OH010";"PJG";"440";"MTR";"440";"0";"0";"";"05-APR-23 10.00.00.000000 AM";"SYSTEM";"05-APR-23 10.00.00.000000 AM";"";"";"";"";"";"Y"
"SA1";"OH";"011";"JL";"JLA";"JLAOH011";"Jalan Transport Timur OH011";"PJG";"286";"MTR";"251";"35";"0";"";"11-MAY-26 02.09.41.000000 PM";"0107042";"11-MAY-26 02.09.41.000000 PM";"0107042";"0";"0";"";"";"Y"
"SA1";"OH";"011";"JL";"JLB";"JLBOH011";"Jalan Koleksi Utara OH011";"PJG";"993";"MTR";"993";"0";"0";"WOWIF/SA1/202506/020180";"28-JUN-25 10.48.54.000000 AM";"0107042";"28-JUN-25 10.48.54.000000 AM";"0107042";"0";"0";"";"";"Y"
"SA1";"OH";"012";"JL";"JLA";"JLAOH012";"Jalan Transport Timur OH012";"PJG";"267";"MTR";"267";"0";"0";"";"08-MAY-25 09.32.09.000000 AM";"0107042";"08-MAY-25 09.32.09.000000 AM";"0107042";"0";"0";"";"";"Y"
"SA1";"OH";"012";"JL";"JLB";"JLBOH012";"Jalan Koleksi Utara OH012";"PJG";"1012";"MTR";"932";"80";"0";"";"25-JUN-26 11.31.21.000000 AM";"0107042";"25-JUN-26 11.31.21.000000 AM";"0107042";"0";"0";"";"";"Y"
"SA1";"OH";"013";"JL";"JLB";"JLBOH013";"Jalan Koleksi Utara OH013";"PJG";"1074";"MTR";"1074";"0";"0";"WOWIF/SA1/202606/020015";"05-JUN-26 09.12.18.000000 AM";"0107042";"05-JUN-26 09.12.18.000000 AM";"0107042";"0";"0";"";"";"Y"
"SA1";"OH";"013";"JL";"JLE";"JLEOH013";"Jalan Utama OH013";"PJG";"251";"MTR";"231";"20";"0";"";"25-JUN-26 11.37.32.000000 AM";"0107042";"25-JUN-26 11.37.32.000000 AM";"0107042";"0";"0";"";"";"Y"
"SA1";"OH";"014";"JL";"JLB";"JLBOH014";"Jalan Koleksi Utara OH014";"PJG";"1085";"MTR";"1025";"60";"0";"";"06-MAY-25 03.49.01.000000 PM";"0107042";"06-MAY-25 03.49.01.000000 PM";"0107042";"0";"0";"";"";"Y"
"SA1";"OH";"014";"JL";"JLE";"JLEOH014";"Jalan Utama OH014";"PJG";"249";"MTR";"249";"0";"0";"";"25-JUN-26 11.38.50.000000 AM";"0107042";"25-JUN-26 11.38.50.000000 AM";"0107042";"0";"0";"";"";"Y"
"SA1";"OH";"015";"JL";"JLA";"JLAOH015";"Jalan Transport Timur OH015";"PJG";"223";"MTR";"223";"0";"0";"";"25-JUN-26 11.40.00.000000 AM";"0107042";"25-JUN-26 11.40.00.000000 AM";"0107042";"0";"0";"";"";"Y"
"SA1";"OH";"015";"JL";"JLB";"JLBOH015";"Jalan Koleksi Utara OH015";"PJG";"1018";"MTR";"1018";"0";"0";"WOWIF/SA1/202512/020031";"06-DEC-25 08.35.24.000000 AM";"0107042";"06-DEC-25 08.35.24.000000 AM";"0107042";"0";"0";"";"";"Y"
"SA1";"OH";"016";"JL";"JLA";"JLAOH016";"Jalan Transport Timur OH016";"PJG";"210";"MTR";"210";"0";"0";"";"25-JUN-26 11.41.45.000000 AM";"0107042";"25-JUN-26 11.41.45.000000 AM";"0107042";"0";"0";"";"";"Y"
"SA1";"OH";"016";"JL";"JLB";"JLBOH016";"Jalan Koleksi Utara OH016";"PJG";"992";"MTR";"892";"100";"0";"";"23-MAY-26 06.57.16.000000 AM";"0107042";"23-MAY-26 06.57.16.000000 AM";"0107042";"0";"0";"";"";"Y"
"SA1";"OH";"017";"JL";"JLA";"JLAOH017";"Jalan Transport Timur OH017";"PJG";"254";"MTR";"254";"0";"0";"";"25-JUN-26 11.43.55.000000 AM";"0107042";"25-JUN-26 11.43.55.000000 AM";"0107042";"0";"0";"";"";"Y"
"SA1";"OH";"017";"JL";"JLB";"JLBOH017";"Jalan Koleksi Utara OH017";"PJG";"829";"MTR";"729";"100";"0";"";"21-FEB-25 10.36.43.000000 AM";"0107042";"21-FEB-25 10.36.43.000000 AM";"0107042";"0";"0";"";"";"Y"
"SA1";"OH";"018";"JL";"JLA";"JLAOH018";"Jalan Transport Timur OH018";"PJG";"238";"MTR";"238";"0";"0";"";"29-JUN-26 03.43.13.000000 PM";"0107042";"29-JUN-26 03.43.13.000000 PM";"0107042";"0";"0";"";"";"Y"
"SA1";"OH";"018";"JL";"JLB";"JLBOH018";"Jalan Koleksi Utara OH018";"PJG";"1008";"MTR";"1008";"0";"0";"WOWIF/SA1/202606/020003";"04-JUN-26 09.55.08.000000 AM";"0107042";"04-JUN-26 09.55.08.000000 AM";"0107042";"0";"0";"";"";"Y"
"SA1";"OH";"019";"JL";"JLB";"JLBOH019";"Jalan Koleksi Utara OH019";"PJG";"1098";"MTR";"1098";"0";"0";"";"24-JUN-25 11.32.36.000000 AM";"0107042";"24-JUN-25 11.32.36.000000 AM";"0107042";"0";"0";"";"";"Y"
"SA1";"OH";"019";"JL";"JLE";"JLEOH019";"Jalan Utama OH019";"PJG";"254";"MTR";"254";"0";"0";"";"29-JUN-26 03.43.53.000000 PM";"0107042";"29-JUN-26 03.43.53.000000 PM";"0107042";"0";"0";"";"";"Y"
"SA1";"OH";"01A";"JL";"JLA";"JLAOH01A";"Jalan Transport Timur OH01A";"PJG";"181";"MTR";"161";"20";"0";"";"10-JUL-26 06.41.18.000000 AM";"0107042";"10-JUL-26 06.41.18.000000 AM";"0107042";"0";"0";"";"";"Y"
"SA1";"OH";"01A";"JL";"JLB";"JLBOH01A";"Jalan Koleksi Utara OH01A";"PJG";"141";"MTR";"141";"0";"0";"";"29-JUN-26 03.45.51.000000 PM";"0107042";"29-JUN-26 03.45.51.000000 PM";"0107042";"0";"0";"";"";"Y"
"SA1";"OH";"01A";"JL";"JLF";"JLFOH01Aa";"Jalan Koleksi Dalam OH01A";"PJG";"314";"MTR";"314";"0";"0";"";"05-APR-23 10.00.00.000000 AM";"SYSTEM";"05-APR-23 10.00.00.000000 AM";"";"";"";"";"";"N"
"SA1";"OH";"020";"JL";"JLB";"JLBOH020";"Jalan Koleksi Utara OH020";"PJG";"1111";"MTR";"1111";"0";"0";"WOWIF/SA1/202606/020016";"06-JUN-26 03.02.59.000000 PM";"0107042";"06-JUN-26 03.02.59.000000 PM";"0107042";"0";"0";"";"";"Y"
"SA1";"OH";"020";"JL";"JLE";"JLEOH020";"Jalan Utama OH020";"PJG";"243";"MTR";"243";"0";"0";"";"29-JUN-26 03.47.24.000000 PM";"0107042";"29-JUN-26 03.47.24.000000 PM";"0107042";"0";"0";"";"";"Y"
"SA1";"OH";"021";"JL";"JLA";"JLAOH021";"Jalan Transport Timur OH021";"PJG";"286";"MTR";"286";"0";"0";"";"24-JUN-25 11.33.37.000000 AM";"0107042";"24-JUN-25 11.33.37.000000 AM";"0107042";"0";"0";"";"";"Y"
"SA1";"OH";"021";"JL";"JLB";"JLBOH021";"Jalan Koleksi Utara OH021";"PJG";"1008";"MTR";"948";"60";"0";"";"19-JAN-26 10.46.17.000000 AM";"0107042";"19-JAN-26 10.46.17.000000 AM";"0107042";"0";"0";"";"";"Y"
"SA1";"OH";"022";"JL";"JLA";"JLAOH022";"Jalan Transport Timur OH022";"PJG";"319";"MTR";"319";"0";"0";"";"06-JUL-26 11.14.43.000000 AM";"0107042";"06-JUL-26 11.14.43.000000 AM";"0107042";"0";"0";"";"";"Y"
"SA1";"OH";"022";"JL";"JLB";"JLBOH022";"Jalan Koleksi Utara OH022";"PJG";"992";"MTR";"992";"0";"0";"WOWIF/SA1/202607/020113";"31-JUL-26 09.18.19.000000 AM";"0107042";"31-JUL-26 09.59.56.000000 AM";"0107042";"0";"0";"";"";"Y"
"SA1";"OH";"023";"JL";"JLB";"JLBOH023";"Jalan Koleksi Utara OH023";"PJG";"1119";"MTR";"1119";"0";"0";"WOWIF/SA1/202607/020114";"31-JUL-26 09.23.35.000000 AM";"0107042";"31-JUL-26 09.23.35.000000 AM";"0107042";"0";"0";"";"";"Y"
"SA1";"OH";"023";"JL";"JLD";"JLDOH023";"Jalan Koleksi Selatan OH023";"PJG";"1116";"MTR";"1116";"0";"0";"";"29-JUN-24 10.20.41.000000 AM";"0107042";"29-JUN-24 10.20.41.000000 AM";"0107042";"0";"0";"";"";"Y"
